all,Bg Long,address,Bg Lat,latitude,longitude
McDonald's,-88.11,"1300 Marquette Dr, Romeoville, IL 60446",41.63,41.63,-88.11
McDonald's,-111.998407,"534 N Harrisville Rd, Ogden, UT 84404",41.271876,41.271876,-111.998407
McDonald's,-111.946488,"3875 Washington Blvd, Ogden, UT 84403",41.185002,41.185002,-111.946488
McDonald's,-111.796354,"850 E Main St, American Fork, UT 84003",40.393885,40.393885,-111.796354
McDonald's,-111.96844,"4848 S 900 W, Ogden, UT 84405",41.164148,41.164148,-111.96844
McDonald's,-111.992694,"909 W Riverdale Rd, Riverdale, UT 84405",41.176697,41.176697,-111.992694
McDonald's,-111.946488,"5745 Harrison Blvd, South Ogden, UT 84403",41.185002,41.185002,-111.946488
McDonald's,-111.866853,"303 E 12300 S, Draper, UT 84020",40.508883,40.508883,-111.866853
McDonald's,-111.823364,"1877 Murray Holladay Rd, Holladay, UT 84117",40.667437,40.667437,-111.823364
McDonald's,-98.273749,"8036 Fm 2673, Canyon Lake, TX 78133",29.844295,29.844295,-98.273749
McDonald's,-97.307988,"WAL-MART Supercenter, Bastrop, TX 78602",30.118028,30.118028,-97.307988
McDonald's,-97.307988,"496 Highway 71 W, Bastrop, TX 78602",30.118028,30.118028,-97.307988
McDonald's,-97.65146,"620 S Ih 35, Georgetown, TX 78626",30.639953,30.639953,-97.65146
McDonald's,-97.411538,"220 Highway 290 E, Elgin, TX 78621",30.227768,30.227768,-97.411538
McDonald's,-97.805912,"3300 Bee Cave Rd, West Lake Hills, TX 78746",30.29132,30.29132,-97.805912
McDonald's,-97.95795,"1901 Interstate 44, Chickasha, OK 73018",35.02759,35.02759,-97.95795
McDonald's,-97.480464,"I-35, Norman, OK 73069",35.200412,35.200412,-97.480464
McDonald's,-97.617646,"3524 Hill Star Dr, Newcastle, OK 73065",35.241991,35.241991,-97.617646
McDonald's,-97.733309,"400 N Trade Center Ter Apt 101, Mustang, OK 73064",35.391289,35.391289,-97.733309
McDonald's,-97.522603,"1235 N Kelly Ave, Edmond, OK 73003",35.673776,35.673776,-97.522603
McDonald's,-97.638217,"5812 NW Expressway St, Warr Acres, OK 73132",35.55421,35.55421,-97.638217
McDonald's,-97.558907,"9001 S Pennsylvania Ave, Oklahoma City, OK 73159",35.384679,35.384679,-97.558907
McDonald's,-87.77,"5700 S Cicero Ave, Chicago, IL 60638",41.79,41.79,-87.77
McDonald's,-97.52668,"7525 S Western Ave, Oklahoma City, OK 73139",35.3845,35.3845,-97.52668
McDonald's,-97.418491,"1150 Alameda St, Norman, OK 73071",35.223852,35.223852,-97.418491
McDonald's,-87.77,"6430 S Cicero Ave, Chicago, IL 60638",41.79,41.79,-87.77
McDonald's,-70.738723,"Route 1, Kittery, ME 03904",43.108692,43.108692,-70.738723
McDonald's,-70.060612,"Lisbon Falls, ME 04252",43.996646,43.996646,-70.060612
McDonald's,-87.74,"5153 W Chicago Ave, Chicago, IL 60651",41.9,41.9,-87.74
McDonald's,-69.963854,"7 Gurnet Rd, Brunswick, ME 04011",43.916805,43.916805,-69.963854
McDonald's,-87.71,"6737 S Pulaski Rd, Chicago, IL 60629",41.78,41.78,-87.71
McDonald's,-70.187364,"750 Route 1, Yarmouth, ME 04096",43.800875,43.800875,-70.187364
McDonald's,-70.232764,"Rt 1, Falmouth, ME 04105",43.72049,43.72049,-70.232764
McDonald's,-90.417682,"741 E Fifteenth St, Yazoo City, MS 39194",32.85015,32.85015,-90.417682
McDonald's,-90.257342,"4675 Clinton Blvd, Jackson, MS 39209",32.328255,32.328255,-90.257342
McDonald's,-122.29699,"3392 Solano Ave, Napa, CA 94558",38.334514,38.334514,-122.29699
McDonald's,-87.82,"624 N Harlem Ave, River Forest, IL 60305",41.89,41.89,-87.82
McDonald's,-121.293466,"611 W Charter Way, Stockton, CA 95206",37.920692,37.920692,-121.293466
McDonald's,-121.324129,"4515 Pacific Ave, Stockton, CA 95207",38.003219,38.003219,-121.324129
McDonald's,-121.290719,"1049 E March Ln, Stockton, CA 95210",37.95362,37.95362,-121.290719
McDonald's,-121.365866,"3143 W Benjamin Holt Dr, Stockton, CA 95219",38.006728,38.006728,-121.365866
McDonald's,-121.260253,"841 E Kettleman Ln, Lodi, CA 95240",38.122174,38.122174,-121.260253
McDonald's,-121.289638,"270 G St, Lincoln, CA 95648",38.884667,38.884667,-121.289638
McDonald's,-121.148198,"1018 Riley St, Folsom, CA 95630",38.670193,38.670193,-121.148198
McDonald's,-121.259746,"8888 Madison Ave, Fair Oaks, CA 95628",38.655669,38.655669,-121.259746
McDonald's,-121.229879,"11250 White Rock Rd, Rancho Cordova, CA 95742",38.559422,38.559422,-121.229879
McDonald's,-121.279129,"2400 Sunrise Blvd, Gold River, CA 95670",38.604495,38.604495,-121.279129
McDonald's,-121.279129,"10655 Folsom Blvd, Rancho Cordova, CA 95670",38.604495,38.604495,-121.279129
McDonald's,-121.347731,"5301 Elkhorn Blvd, Sacramento, CA 95842",38.687873,38.687873,-121.347731
McDonald's,-121.364694,"7901 Watt Ave, Antelope, CA 95843",38.716813,38.716813,-121.364694
McDonald's,-121.279129,"10355 Folsom Blvd, Rancho Cordova, CA 95670",38.604495,38.604495,-121.279129
McDonald's,-121.344554,"5008 Auburn Blvd, Sacramento, CA 95841",38.66265,38.66265,-121.344554
McDonald's,-121.329692,"3560 Bradshaw Rd, Sacramento, CA 95827",38.566279,38.566279,-121.329692
McDonald's,-121.406707,"4957 Watt Ave, North Highlands, CA 95660",38.636459,38.636459,-121.406707
McDonald's,-121.383161,"4121 Marconi Ave, Sacramento, CA 95821",38.623431,38.623431,-121.383161
McDonald's,-121.531556,"8940 Pocket Rd, Sacramento, CA 95831",38.494862,38.494862,-121.531556
McDonald's,-121.373753,"8901 Folsom Blvd, Sacramento, CA 95826",38.551991,38.551991,-121.373753
McDonald's,-121.444149,"6975 Stockton Blvd, Sacramento, CA 95823",38.47449,38.47449,-121.444149
McDonald's,-121.383161,"2535 Watt Ave, Sacramento, CA 95821",38.623431,38.623431,-121.383161
McDonald's,-121.444149,"4125 Florin Rd, Sacramento, CA 95823",38.47449,38.47449,-121.444149
McDonald's,-87.85,"11 N 1st Ave, Maywood, IL 60153",41.88,41.88,-87.85
McDonald's,-121.444576,"5425 Fruitridge Rd, Sacramento, CA 95820",38.534791,38.534791,-121.444576
McDonald's,-121.442884,"4242 Norwood Ave, Sacramento, CA 95838",38.64327,38.64327,-121.442884
McDonald's,-121.405309,"2320 Fair Oaks Blvd, Sacramento, CA 95825",38.591398,38.591398,-121.405309
McDonald's,-121.513631,"3773 Northgate Blvd, Sacramento, CA 95834",38.639454,38.639454,-121.513631
McDonald's,-121.440297,"5525 Folsom Blvd, Sacramento, CA 95819",38.568613,38.568613,-121.440297
McDonald's,-121.491374,"200 Richards Blvd, Sacramento, CA 95814",38.579912,38.579912,-121.491374
McDonald's,-121.330093,"7329 Fair Oaks Blvd, Carmichael, CA 95608",38.629982,38.629982,-121.330093
McDonald's,-106.547949,"East New Mexico 44, Bernalillo, NM 87004",35.321995,35.321995,-106.547949
McDonald's,-106.648646,"Albuquerque, NM 87101",35.084021,35.084021,-106.648646
McDonald's,-78.893297,"Lillington, NC 27546",35.362685,35.362685,-78.893297
McDonald's,-79.237669,"Steele St, Sanford, NC 27237",35.555091,35.555091,-79.237669
McDonald's,-78.596877,"110 Carillon Dr, Garner, NC 27529",35.67006,35.67006,-78.596877
McDonald's,-78.806054,"4801 NW Cary Pkwy, Cary, NC 27513",35.795497,35.795497,-78.806054
McDonald's,-84.209002,"410 S Main St, Dayton, OH 45402",39.758562,39.758562,-84.209002
McDonald's,-84.221615,"741 E Dixie Dr, Dayton, OH 45449",39.673947,39.673947,-84.221615
McDonald's,-84.0705,"35 S Main St, Waynesville, OH 45068",39.528606,39.528606,-84.0705
McDonald's,-84.221879,"775 W Central Ave, Springboro, OH 45066",39.558123,39.558123,-84.221879
McDonald's,-84.738906,"401 E High St, Oxford, OH 45056",39.500671,39.500671,-84.738906
McDonald's,-84.609018,"1230 Eaton Ave, Hamilton, OH 45013",39.402857,39.402857,-84.609018
McDonald's,-84.508048,"324 N 2nd St, Hamilton, OH 45011",39.400053,39.400053,-84.508048
McDonald's,-84.653126,"8530 Us Highway 42, Florence, KY 41042",38.989037,38.989037,-84.653126
McDonald's,-84.275902,"870 Eastgate South Dr, Cincinnati, OH 45245",39.068909,39.068909,-84.275902
McDonald's,-84.540967,"Erlanger, KY 41017",38.99991,38.99991,-84.540967
McDonald's,-84.291501,"2930 W Us Highway 22landen, Loveland, OH 45111",39.196775,39.196775,-84.291501
McDonald's,-84.469665,"600 Kemper Commons Cir, Springdale, OH 45246",39.287696,39.287696,-84.469665
McDonald's,-84.376037,"I 275, Sharonville, OH 45241",39.288822,39.288822,-84.376037
McDonald's,-87.65,"7601 S Vincennes Ave, Chicago, IL 60620",41.74,41.74,-87.65
McDonald's,-84.578744,"8339 Colerain Ave, Cincinnati, OH 45239",39.207151,39.207151,-84.578744
McDonald's,-84.393711,"4140 Hunt Rd, Cincinnati, OH 45236",39.206721,39.206721,-84.393711
McDonald's,-84.452411,"4524 Montgomery Rd, Norwood, OH 45212",39.161402,39.161402,-84.452411
McDonald's,-87.75,"3560 N Cicero Ave, Chicago, IL 60641",41.95,41.95,-87.75
McDonald's,-81.954028,"State Route 30, Wooster, OH 44691",40.793179,40.793179,-81.954028
McDonald's,-81.947634,"E Bowman St, Wooster, OH 44691",40.801505,40.801505,-81.947634
McDonald's,-82.606472,"11015 Us Highway 250 N, Milan, OH 44846",41.306211,41.306211,-82.606472
McDonald's,-80.843213,"2481 W Market St, Warren, OH 44485",41.237969,41.237969,-80.843213
McDonald's,-81.385961,"3934 Everhard Rd Nw, Canton, OH 44709",40.839029,40.839029,-81.385961
McDonald's,-81.238445,"6134 St, RT 14, Ravenna, OH 44266",41.158515,41.158515,-81.238445
McDonald's,-81.20594,"430 Water St, Chardon, OH 44024",41.572961,41.572961,-81.20594
